epsilon, dim, number_of_threads, algo_type, id_rep, compression_ratio, space_saving, time (s)
1e-06, 131072, 4, Classic, 7, 96.1094, 0.989595, 4.16672
1e-06, 131072, 4, Classic, 8, 96.1094, 0.989595, 3.79722
1e-06, 131072, 4, Classic, mean, N.A, N.A, 3.97282
1e-06, 131072, 4, Classic, stddev, N.A, N.A, 0.268938
1e-06, 131072, 4, TaskBased, 0, 96.1094, 0.989595, 4.33679
1e-06, 131072, 4, TaskBased, 1, 96.1094, 0.989595, 4.01347
1e-06, 131072, 4, TaskBased, 2, 96.1094, 0.989595, 4.24968
1e-06, 131072, 4, TaskBased, 3, 96.1094, 0.989595, 4.14216
1e-06, 131072, 4, TaskBased, 4, 96.1094, 0.989595, 4.40276
1e-06, 131072, 4, TaskBased, 5, 96.1094, 0.989595, 4.17117
1e-06, 131072, 4, TaskBased, 6, 96.1094, 0.989595, 4.12037
1e-06, 131072, 4, TaskBased, 7, 96.1094, 0.989595, 4.63168
1e-06, 131072, 4, TaskBased, 8, 96.1094, 0.989595, 4.32446
1e-06, 131072, 4, TaskBased, mean, N.A, N.A, 4.26584
1e-06, 131072, 4, TaskBased, stddev, N.A, N.A, 0.183859
1e-06, 262144, 8, Classic, 0, 173.924, 0.99425, 5.53762
1e-06, 262144, 8, Classic, 1, 173.924, 0.99425, 5.35768
1e-06, 262144, 8, Classic, 2, 173.924, 0.99425, 5.31537
1e-06, 262144, 8, Classic, 3, 173.924, 0.99425, 5.45912
1e-06, 262144, 8, Classic, 4, 173.924, 0.99425, 5.48839
1e-06, 262144, 8, Classic, 5, 173.924, 0.99425, 5.45421
1e-06, 262144, 8, Classic, 6, 173.924, 0.99425, 5.4999
1e-06, 262144, 8, Classic, 7, 173.924, 0.99425, 5.34421
1e-06, 262144, 8, Classic, 8, 173.924, 0.99425, 5.36524
1e-06, 262144, 8, Classic, mean, N.A, N.A, 5.42464
1e-06, 262144, 8, Classic, stddev, N.A, N.A, 0.0798247
1e-06, 262144, 8, TaskBased, 0, 173.924, 0.99425, 6.00912
1e-06, 262144, 8, TaskBased, 1, 173.924, 0.99425, 6.09292
1e-06, 262144, 8, TaskBased, 2, 173.924, 0.99425, 6.21801
1e-06, 262144, 8, TaskBased, 3, 173.924, 0.99425, 6.31225
1e-06, 262144, 8, TaskBased, 4, 173.924, 0.99425, 6.4376
1e-06, 262144, 8, TaskBased, 5, 173.924, 0.99425, 6.54135
1e-06, 262144, 8, TaskBased, 6, 173.924, 0.99425, 6.443
